Key,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014
January,"77,878,402","75,540,957","80,142,250","71,906,265","67,122,292","63,052,811","72,293,218","76,999,393","70,712,973","75,303,447","71,050,121"
February,"72,932,473","68,673,572","69,066,704","64,750,156","60,380,977","57,525,048","66,783,558","70,233,443","68,383,605","62,358,212","64,503,935"
March,"79,004,685","77,139,546","69,633,805","66,216,317","64,000,319","63,607,293","75,565,354","70,925,125","72,404,540","68,559,165","66,478,409"
April,"75,047,933","73,936,531","69,553,636","64,669,404","58,904,988","55,810,242","72,418,124","70,494,143","71,281,660","66,816,918","66,475,018"
May,"76,010,305","77,878,044","70,816,217","60,649,421","63,566,972","66,789,298","70,145,455","75,663,674","74,434,795","64,014,595","69,246,619"
June,"74,851,145","75,423,440","72,255,218","62,433,727","60,542,721","64,956,068","71,923,986","72,626,837","71,297,181","60,563,907","65,057,548"
July,"77,678,945","77,794,986","74,144,673","67,338,234","66,088,254","61,803,445","77,072,678","72,940,002","75,662,719","68,067,376","63,823,549"
August,"78,246,683","77,691,546","74,469,345","68,125,776","65,255,620","67,236,056","77,702,274","73,487,493","74,650,098","71,123,086","68,096,960"
September,"74,809,921","77,510,783","71,998,966","69,216,517","65,157,891","66,204,265","77,807,777","71,562,039","73,557,502","66,519,862","62,685,497"
October,"76,276,646","79,088,685","73,822,688","71,990,272","70,207,660","69,605,025","81,196,554","71,177,259","67,775,468","69,083,768","68,317,214"
November,"74,028,879","77,141,915","70,132,586","67,369,351","64,197,050","70,635,425","73,000,691","69,730,586","61,166,906","62,647,642","63,598,311"
December,"73,390,469","80,840,614","73,160,418","68,335,268","63,321,188","73,122,964","80,133,737","70,405,238","71,449,206","65,430,118","69,208,408"
Total,"910,156,486","918,660,619","869,196,506","803,000,708","768,745,932","780,347,940","896,043,406","866,245,232","852,776,653","800,488,096","798,541,589"
